,UUID,DATUM_AEND,DATUM_ERST,ERSTELL_J,ERSTELL_M,REVISION_J,REVISION_M,GRUND_AEND,HERKUNFT,HERKUNFT_J,HERKUNFT_M,OBJEKTART,BEZIRKSNUM,SEE_FLAECH,REVISION_Q,BEZIRKSFLA,BEZIRK_TEI,NAME,KANTONSNUM,ICC,EINWOHNERZ
37,{F807601B-5753-4D0D-AE45-3AC6D2BF2667},20191106080428,20121026122135,2012,10,2020,1,Verbessert,swisstopo,2019,6,Bezirk,247,0.0,2019_Aufbau,32198.0,0,Thun,2,CH,107491.0
38,{83C2ABCC-B16A-4426-83EB-99C65ECFCD82},20181122134130,20121026122135,2012,10,2020,1,Verbessert,AV,2019,1,Bezirk,2228,4.0,2019_Aufbau,30740.0,0,Nyon,22,CH,100685.0
39,{627223EB-12CD-4E65-B4C3-B99D3FFF4498},20151208153209,20121026122135,2012,10,2020,1,Verbessert,AV,2015,12,Bezirk,2601,,2019_Aufbau,30318.0,0,Delémont,26,CH,38590.0
40,{CC110DBB-438C-44A0-80DB-0A5A0F86ED68},20151209151017,20121026122135,2012,10,2020,1,Verbessert,AV,2015,12,Bezirk,314,1460.0,2019_Aufbau,28767.0,0,Sursee,3,CH,74817.0
41,{7537516C-C322-4913-BF72-4B2243C6AAAC},20161209092536,20121026122134,2012,10,2020,1,Verbessert,swisstopo,2017,1,Bezirk,1848,,2019_Aufbau,28530.0,0,Plessur,18,CH,42315.0
42,{D400B0A9-815A-4C3E-8B97-0692B058EFC3},20151209151017,20121026122135,2012,10,2020,1,Verbessert,AV,2015,12,Bezirk,2230,10.0,2019_Aufbau,28302.0,0,Riviera-Pays-d'Enhaut,22,CH,84980.0
43,{8200AF02-1D5E-4D1B-8EB3-AD765D119518},20151208153209,20121026122134,2012,10,2020,1,Verbessert,AV,2015,12,Bezirk,2012,2.0,2019_Aufbau,27963.0,1,Frauenfeld,20,CH,68334.0
44,{1B4C3E3F-A1CE-41BF-BFE0-24D046631863},20151208153210,20121026122134,2012,10,2020,1,Verbessert,AV,2015,12,Bezirk,2309,,2019_Aufbau,39816.0,1,Raron,23,CH,10940.0
45,{EE9A5B9F-D893-480E-9639-F9715200344F},20151208153209,20121026122135,2012,10,2020,1,Verbessert,AV,2015,12,Bezirk,2308,1060.0,2019_Aufbau,26738.0,0,Monthey,23,CH,47039.0
46,{419B0DD0-5EFD-41FB-9FFB-3BF7F5FF0B0F},20151208153209,20121026122135,2012,10,2020,1,Verbessert,AV,2015,12,Bezirk,1006,,2019_Aufbau,26526.0,0,Sense,10,CH,43990.0
47,{C3C17DF2-6BC3-4507-93CD-66D40B1FED9F},20151208153209,20121026122135,2012,10,2020,1,Verbessert,AV,2015,12,Bezirk,2307,,2019_Aufbau,26337.0,0,Martigny,23,CH,47983.0
48,{2ED8E580-A3BA-483D-9169-54FB86BE7948},20161209092536,20121026122135,2012,10,2020,1,Verbessert,swisstopo,2017,1,Bezirk,1726,1591.0,2019_Aufbau,26177.0,0,See-Gaster,17,CH,67089.0
49,{137ABE6B-6A8C-49D6-B4AF-CF61F862CDD4},20151208153209,20121026122135,2012,10,2020,1,Verbessert,AV,2015,12,Bezirk,110,,2019_Aufbau,25175.0,0,Winterthur,1,CH,169513.0
50,{5253DF49-EFF1-4E26-A8D1-0E03D67CF3EF},20161114093054,20121026122135,2012,10,2020,1,Verbessert,swisstopo,2017,1,Bezirk,1842,,2019_Aufbau,23731.0,0,Bernina,18,CH,4629.0
51,{2605DF34-399F-4542-82C1-C75A2953898B},20151208153209,20121026122135,2012,10,2020,1,Verbessert,AV,2015,12,Bezirk,2302,,2019_Aufbau,23420.0,0,Conthey,23,CH,28906.0
52,{4B088BA4-A23E-4668-9D47-7E3EEB3E9DA5},20151208153209,20121026122135,2012,10,2020,1,Verbessert,AV,2015,12,Bezirk,2223,,2019_Aufbau,23220.0,0,Gros-de-Vaud,22,CH,45258.0
53,{A6078986-87DA-49BC-8C8D-658AD7C3027D},20151208153209,20121026122135,2012,10,2020,1,Verbessert,AV,2015,12,Bezirk,2015,,2019_Aufbau,22708.0,0,Weinfelden,20,CH,55830.0
54,{0C5C5261-3F13-4D36-B0D3-4C2B5AF36339},20171205081627,20121026122135,2012,10,2020,1,Verbessert,swisstopo,2018,1,Bezirk,2101,,2019_Aufbau,22633.0,0,Bellinzona,21,CH,55711.0
55,{5C13B8DD-192B-4C67-A6D0-AC5CE4C2BC61},20151208153209,20121026122134,2012,10,2020,1,Verbessert,AV,2015,12,Bezirk,312,3494.0,2019_Aufbau,22252.0,0,Luzern-Land,3,CH,101972.0
56,{C79FE944-E86B-4F89-ACE9-E042772C4BF1},20151209151017,20121026122135,2012,10,2020,1,Verbessert,AV,2015,12,Bezirk,1004,21.0,2019_Aufbau,21796.0,0,La Sarine,10,CH,106136.0
57,{8370DD2B-3B5E-46C7-9CE8-E180EC891014},20151208153209,20121026122134,2012,10,2020,1,Verbessert,AV,2015,12,Bezirk,1724,,2019_Aufbau,20651.0,0,Werdenberg,17,CH,39193.0
58,{4AFC1869-9295-45FF-8BC0-ABE37D3BD351},20161114100553,20121026122134,2012,10,2020,1,Verbessert,swisstopo,2017,1,Bezirk,1844,,2019_Aufbau,20380.0,0,Imboden,18,CH,20970.0
59,{E96F3405-5315-4DCD-9395-92874EC7313A},20191106080428,20121026122135,2012,10,2020,1,Verbessert,swisstopo,2019,6,Bezirk,2602,,2019_Aufbau,20024.0,0,Les Franches-Montagnes,26,CH,10389.0
60,{9D949681-3030-42A8-9C06-A411222E37FD},20161209092536,20121026122134,2012,10,2020,1,Verbessert,swisstopo,2017,1,Bezirk,2222,17.0,2019_Aufbau,25818.0,1,Broye-Vully,22,CH,43145.0
61,{4DF70CB2-2180-4DB7-B6EE-5942525ECE0D},20181122134129,20121026122134,2012,10,2020,1,Verbessert,AV,2019,1,Bezirk,2310,,2019_Aufbau,19059.0,0,Saint-Maurice,23,CH,13821.0
62,{7CE257AF-BDF9-44D0-BEFA-F4C5478175C1},20161209092536,20121026122135,2012,10,2020,1,Verbessert,swisstopo,2017,1,Bezirk,505,1019.0,2019_Aufbau,18693.0,0,March,5,CH,43598.0
63,{85FB267E-985D-4D4E-8D06-56FD1B50848C},20161209092536,20121026122135,2012,10,2020,1,Verbessert,swisstopo,2017,1,Bezirk,103,,2019_Aufbau,18488.0,0,Bülach,1,CH,151486.0
64,{83DEB6BF-AEA9-4E76-A12B-5369E95CBC87},20161209092536,20121026122134,2012,10,2020,1,Verbessert,swisstopo,2017,1,Bezirk,313,654.0,2019_Aufbau,18391.0,0,Hochdorf,3,CH,73398.0
65,{25B6301F-13D1-41A1-9356-51645E4C499E},20161209092536,20121026122134,2012,10,2020,1,Verbessert,swisstopo,2017,1,Bezirk,105,,2019_Aufbau,17950.0,0,Hinwil,1,CH,95711.0
66,{373C0156-46DB-4AB3-8308-D147A6D47EAD},20161209092536,20121026122135,2012,10,2020,1,Verbessert,swisstopo,2017,1,Bezirk,1845,,2019_Aufbau,17467.0,0,Landquart,18,CH,25157.0
67,{A4FD6BA3-07AC-4851-A914-F773C1BC70E7},20161209092536,20121026122134,2012,10,2020,1,Verbessert,swisstopo,2017,1,Bezirk,1002,,2019_Aufbau,16867.0,0,La Glâne,10,CH,24337.0
68,{69AC0AB9-0F29-42D9-AD38-1A0182FF8A8D},20161209092536,20121026122135,2012,10,2020,1,Verbessert,swisstopo,2017,1,Bezirk,102,,2019_Aufbau,16654.0,0,Andelfingen,1,CH,31372.0
69,{05193CBD-54B4-4F3D-92B7-7CA8F1FA27A2},20151208153209,20121026122135,2012,10,2020,1,Verbessert,AV,2015,12,Bezirk,108,,2019_Aufbau,16315.0,0,Pfäffikon,1,CH,60439.0
70,{D636CF6F-698B-44D4-8A70-6AA3B8AF7273},20151208153210,20121026122134,2012,10,2020,1,Verbessert,AV,2015,12,Bezirk,1005,1440.0,2019_Aufbau,15923.0,1,See,10,CH,36800.0
71,{071691FD-8350-4C49-B0D6-F307829E88C4},20151208153210,20121026122134,2012,10,2020,1,Verbessert,AV,2015,12,Bezirk,1721,,2019_Aufbau,15767.0,1,St. Gallen,17,CH,122419.0
72,{6227174C-9ADF-49BA-ABA1-4E8CEDFF87CE},20161209092536,20121026122135,2012,10,2020,1,Verbessert,swisstopo,2017,1,Bezirk,1906,,2019_Aufbau,15674.0,0,Laufenburg,19,CH,32552.0
73,{733D5002-96C1-441C-A5AC-650E69A49184},20161209092536,20121026122134,2012,10,2020,1,Verbessert,swisstopo,2017,1,Bezirk,1902,,2019_Aufbau,15309.0,1,Baden,19,CH,144129.0
74,{85DAB265-67EC-4F0B-9B9E-3BE39B097174},20151208153209,20121026122134,2012,10,2020,1,Verbessert,AV,2015,12,Bezirk,104,,2019_Aufbau,15285.0,0,Dielsdorf,1,CH,90455.0
